## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/align/HG002_chr20.sorted.bam --OUTPUT results/align/HG002_chr20.markdup.bam --METRICS_FILE results/align/HG002_chr20.markdup.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 30 02:55:34 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	2051	59636832	296458	2093	1221	1163069	5538	0.019512	1516038910

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000091	57317880	0	57323206
2.0	1.961605	1149181	5538	1144064
3.0	2.88603	6255	0	6048
4.0	3.774796	415	0	414
5.0	4.62928	27	0	26
6.0	5.450803	5	0	5
7.0	6.240637	0	0	0
8.0	7.000004	0	0	0
9.0	7.73008	0	0	0
10.0	8.431994	0	0	0
11.0	9.106832	0	0	0
12.0	9.75564	0	0	0
13.0	10.379421	0	0	0
14.0	10.97914	0	0	0
15.0	11.555726	0	0	0
16.0	12.110071	0	0	0
17.0	12.643033	0	0	0
18.0	13.155437	0	0	0
19.0	13.648075	0	0	0
20.0	14.121711	0	0	0
21.0	14.577077	0	0	0
22.0	15.014877	0	0	0
23.0	15.43579	0	0	0
24.0	15.840467	0	0	0
25.0	16.229534	0	0	0
26.0	16.603594	0	0	0
27.0	16.963224	0	0	0
28.0	17.308983	0	0	0
29.0	17.641404	0	0	0
30.0	17.961002	0	0	0
31.0	18.268273	0	0	0
32.0	18.563691	0	0	0
33.0	18.847713	0	0	0
34.0	19.12078	0	0	0
35.0	19.383314	0	0	0
36.0	19.63572	0	0	0
37.0	19.878391	0	0	0
38.0	20.111701	0	0	0
39.0	20.336011	0	0	0
40.0	20.551669	0	0	0
41.0	20.759008	0	0	0
42.0	20.958349	0	0	0
43.0	21.150001	0	0	0
44.0	21.33426	0	0	0
45.0	21.511412	0	0	0
46.0	21.68173	0	0	0
47.0	21.845479	0	0	0
48.0	22.002911	0	0	0
49.0	22.154271	0	0	0
50.0	22.299792	0	0	0
51.0	22.439699	0	0	0
52.0	22.57421	0	0	0
53.0	22.703533	0	0	0
54.0	22.827866	0	0	0
55.0	22.947404	0	0	0
56.0	23.062331	0	0	0
57.0	23.172825	0	0	0
58.0	23.279057	0	0	0
59.0	23.381191	0	0	0
60.0	23.479385	0	0	0
61.0	23.573791	0	0	0
62.0	23.664556	0	0	0
63.0	23.75182	0	0	0
64.0	23.835718	0	0	0
65.0	23.916379	0	0	0
66.0	23.993929	0	0	0
67.0	24.068488	0	0	0
68.0	24.140171	0	0	0
69.0	24.209088	0	0	0
70.0	24.275348	0	0	0
71.0	24.339051	0	0	0
72.0	24.400297	0	0	0
73.0	24.459181	0	0	0
74.0	24.515793	0	0	0
75.0	24.570221	0	0	0
76.0	24.62255	0	0	0
77.0	24.672861	0	0	0
78.0	24.721231	0	0	0
79.0	24.767735	0	0	0
80.0	24.812445	0	0	0
81.0	24.855431	0	0	0
82.0	24.896758	0	0	0
83.0	24.936491	0	0	0
84.0	24.974692	0	0	0
85.0	25.011419	0	0	0
86.0	25.04673	0	0	0
87.0	25.080678	0	0	0
88.0	25.113317	0	0	0
89.0	25.144697	0	0	0
90.0	25.174866	0	0	0
91.0	25.203872	0	0	0
92.0	25.231759	0	0	0
93.0	25.25857	0	0	0
94.0	25.284347	0	0	0
95.0	25.309129	0	0	0
96.0	25.332956	0	0	0
97.0	25.355864	0	0	0
98.0	25.377888	0	0	0
99.0	25.399062	0	0	0
100.0	25.41942	0	0	0

