Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.994136,0.996316,0.499142,0.995225,4,12,64274167,2542343946.000000,0.000000,11256,.,.,6428.000000,4116.000000,,1.56171039845,11190,.,.,6410.000000,4099.000000,,1.56379604782,66,.,.,18.000000,17.000000,,1.05882352941,23306,.,.,16050.000000,6586.000000,,2.43698754935,11630,.,.,7290.000000,4098.000000,,1.77891654466,43,.,.,43.000000,0.000000,,,11633,.,.,8717.000000,2488.000000,,3.50361736334
INDEL,*,*,PASS,*,QUAL,*,0.994048,0.997427,0.488506,0.995734,4,7,64274167,2542343946.000000,0.000000,11256,.,.,6428.000000,4116.000000,,1.56171039845,11189,.,.,6409.000000,4099.000000,,1.56355208587,67,.,.,19.000000,17.000000,,1.11764705882,22794,.,.,15539.000000,6585.000000,,2.35975702354,11629,.,.,7289.000000,4098.000000,,1.77867252318,30,.,.,30.000000,0.000000,,,11135,.,.,8220.000000,2487.000000,,3.30518697226
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.909091,0.769231,0.919753,0.833333,0,0,3030848912.000000,2542343946.000000,0.000000,11,.,.,8.000000,3.000000,,2.66666666667,10,.,.,8.000000,2.000000,,4.0,1,.,.,0.000000,1.000000,,0.0,162,.,.,121.000000,38.000000,,3.18421052632,10,.,.,8.000000,2.000000,,4.0,3,.,.,3.000000,0.000000,,,149,.,.,110.000000,36.000000,,3.05555555556
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.909091,0.769231,0.919255,0.833333,0,0,3030848912.000000,2542343946.000000,0.000000,11,.,.,8.000000,3.000000,,2.66666666667,10,.,.,8.000000,2.000000,,4.0,1,.,.,0.000000,1.000000,,0.0,161,.,.,120.000000,38.000000,,3.15789473684,10,.,.,8.000000,2.000000,,4.0,3,.,.,3.000000,0.000000,,,148,.,.,109.000000,36.000000,,3.02777777778
INDEL,*,TS_contained,ALL,*,QUAL,*,0.99422,0.996569,0.0,0.995393,4,12,2542343946.000000,2542343946.000000,0.000000,11245,.,.,6420.000000,4113.000000,,1.56090444931,11180,.,.,6402.000000,4097.000000,,1.56260678545,65,.,.,18.000000,16.000000,,1.125,11660,.,.,7322.000000,4096.000000,,1.78759765625,11620,.,.,7282.000000,4096.000000,,1.77783203125,40,.,.,40.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.994131,0.997682,0.0,0.995903,4,7,2542343946.000000,2542343946.000000,0.000000,11245,.,.,6420.000000,4113.000000,,1.56090444931,11179,.,.,6401.000000,4097.000000,,1.56236270442,66,.,.,19.000000,16.000000,,1.1875,11646,.,.,7308.000000,4096.000000,,1.7841796875,11619,.,.,7281.000000,4096.000000,,1.77758789062,27,.,.,27.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,2542343946.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,2542343946.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2542343946.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2542343946.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
