run_accession	fastq_ftp	fastq_bytes	read_count
ERR2000599	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000599/ERR2000599.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000599/ERR2000599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000599/ERR2000599_2.fastq.gz	5733320547;797008685;831187895	201428157
ERR2000600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000600/ERR2000600.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000600/ERR2000600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000600/ERR2000600_2.fastq.gz	1811178702;231596573;232772849	61973515
ERR2000606	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000606/ERR2000606.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000606/ERR2000606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000606/ERR2000606_2.fastq.gz	1710439297;235926367;229637768	57010919
ERR2000607	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000607/ERR2000607.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000607/ERR2000607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000607/ERR2000607_2.fastq.gz	1717220539;253752932;253318468	58361926
ERR2000610	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000610/ERR2000610.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000610/ERR2000610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000610/ERR2000610_2.fastq.gz	1478746979;203479966;197865728	49432832
ERR2000612	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000612/ERR2000612.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000612/ERR2000612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000612/ERR2000612_2.fastq.gz	1528445728;200817027;198482704	52131704
ERR2000616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000616/ERR2000616.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000616/ERR2000616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000616/ERR2000616_2.fastq.gz	1774064479;235147021;232651549	60455717
ERR2000617	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000617/ERR2000617.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000617/ERR2000617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000617/ERR2000617_2.fastq.gz	1772741596;232205215;227828216	60332023
ERR2000618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000618/ERR2000618.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000618/ERR2000618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000618/ERR2000618_2.fastq.gz	1722678519;238588205;232130946	57316547
ERR2000621	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000621/ERR2000621.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000621/ERR2000621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000621/ERR2000621_2.fastq.gz	1774031214;230852597;227457107	60497418
