# table produced by mapDamage version 2.2.3
# using mapped file results/align/ERR2000715.sorted.bam and ref/GRCh38_no_alt.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	40	400474
+	46	357766
+	70	78481
+	48	324420
+	43	407643
+	57	188935
+	53	242278
+	56	200784
+	50	291450
+	35	108521
+	36	159281
+	49	308198
+	21	23715
+	41	421558
+	73	63619
+	27	16642
+	74	59422
+	16	14332
+	90	19978
+	75	55240
+	60	153617
+	47	341979
+	54	227595
+	67	96435
+	86	25703
+	38	293181
+	32	38566
+	45	372650
+	42	418845
+	63	125944
+	24	34446
+	39	356971
+	37	222482
+	72	68609
+	98	11222
+	66	104148
+	65	110419
+	55	213319
+	62	134217
+	68	90494
+	51	275062
+	61	143273
+	95	13857
+	64	118581
+	82	34659
+	58	177449
+	44	390028
+	30	23711
+	71	73133
+	12	5202
+	77	48576
+	92	17217
+	78	46087
+	29	20160
+	80	39441
+	52	257462
+	59	166109
+	28	17527
+	31	29714
+	81	36913
+	100	10051
+	25	23953
+	93	15791
+	117	3128
+	79	42062
+	133	1078
+	34	75226
+	84	29558
+	22	54739
+	99	10762
+	14	9593
+	23	47280
+	113	4073
+	69	84431
+	17	17494
+	19	28389
+	89	20817
+	88	22377
+	26	18228
+	96	13114
+	87	24269
+	102	8817
+	76	51848
+	10	2121
+	103	8178
+	33	52373
+	11	3540
+	104	7697
+	20	27469
+	83	32383
+	85	27568
+	105	7268
+	13	7541
+	135	945
+	140	659
+	110	5073
+	18	22318
+	109	5416
+	108	5707
+	116	3324
+	123	1963
+	114	3764
+	115	3654
+	106	6583
+	94	14936
+	101	9476
+	111	4615
+	97	11992
+	112	4486
+	91	18425
+	15	11446
+	134	1016
+	120	2542
+	9	1095
+	130	1310
+	107	6087
+	118	2984
+	128	1410
+	131	1216
+	121	2313
+	122	2300
+	119	2704
+	8	405
+	125	1881
+	137	822
+	129	1427
+	141	660
+	124	1803
+	127	1613
+	139	714
+	126	1663
+	7	84
+	1	53
+	132	1169
+	138	753
+	5	34
+	136	858
+	2	10
+	6	38
+	4	125
+	142	10
+	3	9
+	143	2
-	56	199660
-	50	290808
-	51	274291
-	48	325612
-	45	372451
-	34	74781
-	53	241448
-	17	17682
-	44	390310
-	79	42311
-	54	228015
-	13	7575
-	46	356312
-	43	408554
-	42	418354
-	52	256944
-	47	341638
-	35	108339
-	63	125204
-	70	78399
-	60	154213
-	86	25594
-	49	309552
-	41	422311
-	59	165542
-	23	47236
-	67	97412
-	33	52509
-	37	221265
-	74	58631
-	18	22087
-	24	34833
-	57	188802
-	83	32167
-	38	292269
-	66	103326
-	108	5863
-	116	3288
-	21	24153
-	96	12969
-	30	23435
-	76	52204
-	36	158804
-	39	357521
-	137	801
-	71	73219
-	72	67981
-	40	400580
-	62	134407
-	64	118292
-	94	14650
-	78	45564
-	55	213870
-	61	143059
-	58	176341
-	106	6621
-	68	90643
-	65	110384
-	69	84112
-	73	63718
-	92	16851
-	95	13831
-	29	19804
-	103	8390
-	77	48610
-	104	7678
-	75	55048
-	32	38077
-	140	692
-	84	29566
-	97	12376
-	81	37048
-	91	18533
-	102	8668
-	85	27856
-	88	22503
-	98	11408
-	82	34465
-	90	19785
-	101	9436
-	111	4689
-	138	768
-	16	14533
-	22	54591
-	11	3577
-	28	17205
-	19	28280
-	27	16310
-	89	20785
-	31	29382
-	107	6182
-	8	411
-	14	9706
-	25	23951
-	93	16059
-	87	24240
-	100	10087
-	80	39182
-	15	11375
-	127	1571
-	26	18076
-	124	1894
-	99	10505
-	125	1766
-	109	5400
-	20	27181
-	12	5316
-	114	3740
-	9	1077
-	117	3153
-	112	4176
-	10	2085
-	126	1636
-	128	1418
-	105	7167
-	131	1270
-	115	3456
-	129	1401
-	118	2899
-	123	2137
-	120	2512
-	139	753
-	133	1066
-	122	2189
-	121	2261
-	110	5074
-	134	999
-	135	957
-	119	2639
-	113	4113
-	136	870
-	141	666
-	4	115
-	132	1145
-	130	1282
-	7	95
-	1	61
-	3	15
-	6	37
-	142	10
-	5	32
-	2	9
-	143	3
