pos	5pC>T
1	0.178618468036419
2	0.0099886467686101
3	0.00630110686343662
4	0.00510333209067373
5	0.00408533221238473
6	0.00424849962745743
7	0.0038653916606231
8	0.00370602839190433
9	0.00395371744765069
10	0.00363250327298381
11	0.00364254438852629
12	0.00357578311232365
13	0.00371295046733643
14	0.00361446170011849
15	0.00379318862854307
16	0.00365457082303607
17	0.00378589086250275
18	0.00376557298697387
19	0.00385764702685004
20	0.00364051824206273
21	0.00360655865937811
22	0.0036676032036925
23	0.00362580766478451
24	0.00350168126993746
25	0.00340996232388139
