pos	3pG>A
1	0.0298548410327956
2	0.0110966873011019
3	0.00517763668215593
4	0.00823856167534794
5	0.00499444404891853
6	0.00448330980510836
7	0.00477672925634845
8	0.00441347377037414
9	0.00422843836220501
10	0.00434005584358149
11	0.00404482042569866
12	0.00416187784657038
13	0.00410589168551141
14	0.00413574489436691
15	0.00409501010097434
16	0.00411867576936343
17	0.00416729696881178
18	0.0039274161160345
19	0.00412131776586588
20	0.00421271424570852
21	0.00378611997898703
22	0.00391046691380235
23	0.00374397388991597
24	0.00365350714000948
25	0.00367324671323034
