## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/align/normal.sorted.bam --OUTPUT results/align/normal.markdup.bam --METRICS_FILE results/align/normal.markdup.metrics.txt --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 06 11:58:30 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1650585	596312230	5997651	2878755	461633	42091325	0	0.070875	4022807499

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	516483920	516483920
2.0	1.86223	35072027	35072027
3.0	2.605671	2218985	2218985
4.0	3.246689	223231	223231
5.0	3.799394	65777	65777
6.0	4.275952	35987	35987
7.0	4.686856	23251	23251
8.0	5.041149	16475	16475
9.0	5.346632	12479	12479
10.0	5.610028	10154	10154
11.0	5.837136	8330	8330
12.0	6.032956	7117	7117
13.0	6.201797	6253	6253
14.0	6.347378	5415	5415
15.0	6.472902	4721	4721
16.0	6.581132	4228	4228
17.0	6.674452	3556	3556
18.0	6.754914	3125	3125
19.0	6.824292	2647	2647
20.0	6.884112	2252	2252
21.0	6.93569	1963	1963
22.0	6.980162	1667	1667
23.0	7.018507	1285	1285
24.0	7.05157	1092	1092
25.0	7.080077	916	916
26.0	7.104657	728	728
27.0	7.125851	624	624
28.0	7.144125	478	478
29.0	7.159881	367	367
30.0	7.173466	316	316
31.0	7.18518	264	264
32.0	7.19528	239	239
33.0	7.203989	174	174
34.0	7.211498	160	160
35.0	7.217972	92	92
36.0	7.223554	93	93
37.0	7.228367	84	84
38.0	7.232518	60	60
39.0	7.236096	52	52
40.0	7.239181	35	35
41.0	7.241842	32	32
42.0	7.244135	27	27
43.0	7.246113	20	20
44.0	7.247818	23	23
45.0	7.249289	17	17
46.0	7.250557	14	14
47.0	7.25165	11	11
48.0	7.252592	9	9
49.0	7.253405	7	7
50.0	7.254106	9	9
51.0	7.25471	14	14
52.0	7.255231	2	2
53.0	7.25568	4	4
54.0	7.256067	3	3
55.0	7.256401	3	3
56.0	7.256689	5	5
57.0	7.256937	3	3
58.0	7.257151	4	4
59.0	7.257336	1	1
60.0	7.257495	1	1
61.0	7.257632	1	1
62.0	7.257751	1	1
63.0	7.257853	2	2
64.0	7.257941	1	1
65.0	7.258016	1	1
66.0	7.258082	0	0
67.0	7.258138	1	1
68.0	7.258187	0	0
69.0	7.258229	1	1
70.0	7.258265	0	0
71.0	7.258296	0	0
72.0	7.258323	2	2
73.0	7.258346	0	0
74.0	7.258366	2	2
75.0	7.258383	2	2
76.0	7.258398	0	0
77.0	7.258411	0	0
78.0	7.258422	1	1
79.0	7.258432	0	0
80.0	7.25844	1	1
81.0	7.258447	0	0
82.0	7.258453	0	0
83.0	7.258458	0	0
84.0	7.258463	0	0
85.0	7.258467	0	0
86.0	7.25847	1	1
87.0	7.258473	1	1
88.0	7.258475	0	0
89.0	7.258478	0	0
90.0	7.258479	0	0
91.0	7.258481	1	1
92.0	7.258482	0	0
93.0	7.258484	0	0
94.0	7.258485	0	0
95.0	7.258486	0	0
96.0	7.258486	1	1
97.0	7.258487	0	0
98.0	7.258488	0	0
99.0	7.258488	2	2
100.0	7.258488	1	1
101.0	0	1	1
104.0	0	1	1
106.0	0	1	1
109.0	0	3	3
114.0	0	2	2
115.0	0	1	1
116.0	0	1	1
118.0	0	1	1
120.0	0	1	1
121.0	0	1	1
122.0	0	1	1
124.0	0	2	2
126.0	0	1	1
128.0	0	1	1
129.0	0	2	2
134.0	0	1	1
135.0	0	1	1
139.0	0	2	2
144.0	0	1	1
146.0	0	1	1
157.0	0	1	1
164.0	0	1	1
167.0	0	1	1
175.0	0	1	1
180.0	0	1	1
187.0	0	1	1
221.0	0	1	1
223.0	0	1	1
224.0	0	1	1
231.0	0	1	1
233.0	0	1	1
256.0	0	1	1
284.0	0	1	1
315.0	0	1	1
330.0	0	1	1
384.0	0	1	1
385.0	0	1	1
436.0	0	1	1
1038.0	0	1	1
1182.0	0	1	1
1277.0	0	1	1
1706.0	0	1	1
2481.0	0	1	1
12241.0	0	1	1
12509.0	0	1	1
22259.0	0	1	1
26818.0	0	1	1
27652.0	0	1	1

