## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/align/tumor.sorted.bam --OUTPUT results/align/tumor.markdup.bam --METRICS_FILE results/align/tumor.markdup.metrics.txt --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 06 09:04:15 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1617945	565841780	6012686	2778649	492836	48456847	0	0.085949	3112296071

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	473906095	473906095
2.0	1.833761	39740983	39740983
3.0	2.528918	3197259	3197259
4.0	3.108514	346140	346140
5.0	3.591757	82329	82329
6.0	3.994667	37797	37797
7.0	4.330598	22412	22412
8.0	4.610684	14650	14650
9.0	4.844208	10094	10094
10.0	5.038912	6950	6950
11.0	5.201248	4908	4908
12.0	5.336598	3569	3569
13.0	5.449448	2660	2660
14.0	5.543537	1836	1836
15.0	5.621985	1349	1349
16.0	5.687392	1025	1025
17.0	5.741926	777	777
18.0	5.787394	649	649
19.0	5.825303	493	493
20.0	5.856911	336	336
21.0	5.883264	278	278
22.0	5.905236	258	258
23.0	5.923556	213	213
24.0	5.93883	185	185
25.0	5.951565	160	160
26.0	5.962183	155	155
27.0	5.971036	140	140
28.0	5.978417	140	140
29.0	5.984571	121	121
30.0	5.989702	108	108
31.0	5.99398	83	83
32.0	5.997547	94	94
33.0	6.000521	78	78
34.0	6.003	68	68
35.0	6.005068	50	50
36.0	6.006791	49	49
37.0	6.008228	44	44
38.0	6.009427	38	38
39.0	6.010426	46	46
40.0	6.011259	31	31
41.0	6.011953	24	24
42.0	6.012532	24	24
43.0	6.013015	16	16
44.0	6.013417	32	32
45.0	6.013753	22	22
46.0	6.014033	17	17
47.0	6.014266	16	16
48.0	6.014461	5	5
49.0	6.014623	10	10
50.0	6.014758	7	7
51.0	6.014871	10	10
52.0	6.014965	11	11
53.0	6.015043	7	7
54.0	6.015109	5	5
55.0	6.015163	5	5
56.0	6.015208	7	7
57.0	6.015246	2	2
58.0	6.015278	1	1
59.0	6.015304	2	2
60.0	6.015326	2	2
61.0	6.015344	1	1
62.0	6.01536	2	2
63.0	6.015372	3	3
64.0	6.015383	1	1
65.0	6.015392	1	1
66.0	6.015399	3	3
67.0	6.015405	0	0
68.0	6.015411	1	1
69.0	6.015415	0	0
70.0	6.015418	2	2
71.0	6.015421	0	0
72.0	6.015424	1	1
73.0	6.015426	0	0
74.0	6.015428	0	0
75.0	6.015429	0	0
76.0	6.01543	1	1
77.0	6.015431	0	0
78.0	6.015432	0	0
79.0	6.015433	1	1
80.0	6.015433	0	0
81.0	6.015434	1	1
82.0	6.015434	0	0
83.0	6.015435	2	2
84.0	6.015435	1	1
85.0	6.015435	0	0
86.0	6.015435	1	1
87.0	6.015435	0	0
88.0	6.015436	0	0
89.0	6.015436	2	2
